path_old	path_new	ref_count_before
docs/agent-guidance/README.md	docs/governance/README.md	5
docs/agent-guidance/ai-agent-guide.md	docs/governance/ai-agent-guide.md	20
docs/agent-guidance/curriculum-tools-guidance-and-playbooks.md	docs/governance/curriculum-tools-guidance-and-playbooks.md	2
docs/agent-guidance/development-practice.md	docs/governance/development-practice.md	10
docs/agent-guidance/logging-guidance.md	docs/governance/logging-guidance.md	4
docs/agent-guidance/safety-and-security.md	docs/governance/safety-and-security.md	3
docs/agent-guidance/typescript-practice.md	docs/governance/typescript-practice.md	5
docs/agent-guidance/understanding-agent-references.md	docs/governance/understanding-agent-references.md	3
docs/curriculum-guide.md	docs/domain/curriculum-guide.md	3
docs/data/README.md	docs/domain/README.md	10
docs/data/DATA-VARIANCES.md	docs/domain/DATA-VARIANCES.md	21
docs/development/README.md	docs/engineering/README.md	5
docs/development/build-system.md	docs/engineering/build-system.md	12
docs/development/ci-policy.md	docs/engineering/ci-policy.md	0
docs/development/extending.md	docs/engineering/extending.md	4
docs/development/testing-patterns.md	docs/engineering/testing-patterns.md	0
docs/development/tooling.md	docs/engineering/tooling.md	0
docs/development/workflow.md	docs/engineering/workflow.md	7
docs/development/release-and-publishing.md	docs/engineering/release-and-publishing.md	6
docs/development/environment-variables.md	docs/operations/environment-variables.md	5
docs/development/production-debugging-runbook.md	docs/operations/production-debugging-runbook.md	4
docs/development/troubleshooting.md	docs/operations/troubleshooting.md	3
docs/VISION.md	docs/foundation/VISION.md	9
docs/quick-start.md	docs/foundation/quick-start.md	26
docs/development/onboarding.md	docs/foundation/onboarding.md	57
