Falcon hunts Flight	769	2026-07-30T06:17:38.482Z	2026-08-02T17:12:12Z
Moss calls Loam	411	2026-07-31T19:37:56Z	2026-08-02T19:47:56Z
Altair turns Infinity	403	2026-07-28T15:21:03Z	2026-07-29T20:53:08Z
Schooner binds Trench	369	2026-07-28T15:22:59.782Z	2026-07-29T20:59:35.018Z
Lichen guards Phloem	354	2026-08-02T17:19:24Z	2026-08-03T06:05:12Z
Osprey hunts Drift	288	2026-07-29T10:33:49Z	2026-07-30T06:15:14Z
Skylark hunts Nimbus	282	2026-08-02T11:03:52.859Z	2026-08-03T08:48:23.441Z
Magnetar binds Oblivion	260	2026-08-02T17:14:28Z	2026-08-03T10:57:42.750Z
Charcoal seeks Tongs	223	2026-08-02T13:46:25Z	2026-08-03T05:56:14Z
Badger guards Lair	213	2026-07-31T10:51:20Z	2026-08-02T13:45:09Z
Lynx guards Whisper	189	2026-07-29T07:57:14.331Z	2026-07-29T20:54:09.498Z
Corsair hunts Surf	181	2026-08-02T20:45:35.171Z	2026-08-03T09:57:34Z
Raccoon turns Nocturne	144	2026-07-28T15:22:53Z	2026-07-29T10:27:57Z
Thyme weaves Hedgerow	140	2026-07-29T21:07:21Z	2026-07-30T06:29:29Z
Bora binds Thermal	140	2026-07-29T20:58:21Z	2026-07-30T06:21:17Z
Moon rides Penumbra	139	2026-07-28T21:14:48Z	2026-07-29T07:48:22Z
Europa stirs Void	97	2026-07-29T11:46:17Z	2026-07-29T18:25:03Z
Possum weaves Midnight	82	2026-07-30T06:13:55Z	2026-07-30T11:41:22Z
Squall wakes Apex	80	2026-07-28T15:20:38Z	2026-07-28T21:15:08Z
Inferno weaves Kindling	78	2026-07-30T13:57:46.330Z	2026-07-30T19:09:21.098Z
Brazier holds Bellows	64	2026-07-30T06:46:31Z	2026-07-30T10:59:39Z
Ingot tracks Slag	59	2026-07-31T12:14:44.573Z	2026-07-31T16:12:03.605Z
Sycamore herds Xylem	58	2026-07-30T06:33:39.526Z	2026-07-30T11:05:05.280Z
Volcano binds Beeswax	52	2026-07-30T13:48:46Z	2026-07-30T17:14:14Z
Glowworm spins Pewter	40	2026-07-30T08:10:49Z	2026-07-30T10:58:29Z
Birch holds Seedling	31	2026-08-03T08:59:06Z	2026-08-03T10:56:15Z
Vanilla stirs Bough	30	2026-08-03T06:55:25Z	2026-08-03T08:49:32Z
Plover hunts Sundog	30	2026-07-31T20:55:31Z	2026-07-31T23:02:01Z
Levanter rides Jetstream	26	2026-07-30T06:23:17Z	2026-07-30T08:05:23Z
Tarsier hunts Underbrush	22	2026-07-29T21:01:40Z	2026-07-29T22:20:28Z
Starling stirs Wind	15	2026-07-28T21:10:27Z	2026-07-28T21:51:51Z
Caracal binds Reverie	13	2026-08-01T13:09:41Z	2026-08-01T16:06:15Z
Phoenix herds Residue	12	2026-08-02T23:28:07Z	2026-08-02T23:50:41Z
Eclipse tracks Penumbra	6	2026-07-30T14:54:02Z	2026-07-30T15:11:31Z
Spectre seeks Whisper	5	2026-08-01T09:19:49Z	2026-08-01T09:26:37Z
Kayak rides Coral	3	2026-07-29T08:13:16Z	2026-07-29T08:17:31Z
Possum turns Nocturne	1	2026-08-01T12:51:57.336Z	2026-08-01T12:51:57.336Z
